,age_bracket,Gender,County,Party,Count,voted_2024,voted_2020,voted_2016
242,25-34,Female,Harford,REP,4654,3372,3028,2218
243,25-34,Female,Harford,UNA,4509,2375,2102,1321
244,25-34,Female,Howard,DEM,11943,8188,8119,5385
245,25-34,Female,Howard,OTH,365,173,157,105
246,25-34,Female,Howard,REP,2373,1482,1419,912
247,25-34,Female,Howard,UNA,4703,2574,2394,1409
248,25-34,Female,Kent,DEM,320,192,188,136
249,25-34,Female,Kent,OTH,18,8,5,3
250,25-34,Female,Kent,REP,317,236,208,134
251,25-34,Female,Kent,UNA,248,133,98,67
252,25-34,Female,Montgomery,DEM,38186,25393,23792,14806
253,25-34,Female,Montgomery,OTH,993,456,432,278
254,25-34,Female,Montgomery,REP,4944,3016,2628,1661
255,25-34,Female,Montgomery,UNA,13014,7049,6137,3309
256,25-34,Female,Prince George's,DEM,44544,26185,26213,18940
257,25-34,Female,Prince George's,OTH,1230,462,409,261
258,25-34,Female,Prince George's,REP,2520,1235,1019,694
259,25-34,Female,Prince George's,UNA,11532,5068,4405,2833
260,25-34,Female,Queen Anne's,DEM,820,520,522,368
261,25-34,Female,Queen Anne's,OTH,57,28,26,18
262,25-34,Female,Queen Anne's,REP,1166,880,807,575
263,25-34,Female,Queen Anne's,UNA,848,470,406,255
264,25-34,Female,Saint Mary's,DEM,2652,1579,1555,1049
265,25-34,Female,Saint Mary's,OTH,174,84,76,51
266,25-34,Female,Saint Mary's,REP,2269,1599,1372,974
267,25-34,Female,Saint Mary's,UNA,2087,1049,826,506
268,25-34,Female,Somerset,DEM,454,221,222,172
269,25-34,Female,Somerset,OTH,28,11,7,6
270,25-34,Female,Somerset,REP,341,244,229,168
271,25-34,Female,Somerset,UNA,271,92,80,56
272,25-34,Female,Talbot,DEM,757,449,479,314
273,25-34,Female,Talbot,OTH,43,14,15,7
274,25-34,Female,Talbot,REP,572,385,357,255
275,25-34,Female,Talbot,UNA,491,228,219,128
276,25-34,Female,Washington,DEM,3069,1735,1596,1045
277,25-34,Female,Washington,OTH,243,85,80,62
278,25-34,Female,Washington,REP,2684,1730,1457,1134
279,25-34,Female,Washington,UNA,2692,1120,897,616
280,25-34,Female,Wicomico,DEM,2632,1395,1360,933
281,25-34,Female,Wicomico,OTH,143,56,49,35
282,25-34,Female,Wicomico,REP,1522,994,883,616
283,25-34,Female,Wicomico,UNA,1797,727,663,388
284,25-34,Female,Worcester,DEM,975,553,577,348
285,25-34,Female,Worcester,OTH,67,32,28,21
286,25-34,Female,Worcester,REP,1005,661,613,428
287,25-34,Female,Worcester,UNA,840,390,355,203
288,25-34,Male,Allegany,DEM,694,344,327,220
289,25-34,Male,Allegany,OTH,124,54,38,31
290,25-34,Male,Allegany,REP,1652,963,813,622
291,25-34,Male,Allegany,UNA,1096,391,340,216
292,25-34,Male,Anne Arundel,DEM,12432,6977,6952,4329
293,25-34,Male,Anne Arundel,OTH,997,431,386,242
294,25-34,Male,Anne Arundel,REP,10269,6553,5665,3877
295,25-34,Male,Anne Arundel,UNA,11686,5382,4464,2603
296,25-34,Male,Baltimore City,DEM,24483,10929,10116,7110
