year,month,county,inactive
2012,05,QUEEN ANNE'S,1391
2012,05,ST. MARY'S,5644
2012,05,SOMERSET,1034
2012,05,TALBOT,2870
2012,05,WASHINGTON,8362
2012,05,WICOMICO,4684
2012,05,WORCESTER,2591
2012,02,ALLEGANY,2697
2012,02,ANNE ARUNDEL,26158
2012,02,BALTIMORE CITY,18872
2012,02,BALTIMORE CO.,50094
2012,02,CALVERT,4026
2012,02,CAROLINE,1208
2012,02,CARROLL,5112
2012,02,CECIL,8050
2012,02,CHARLES,8766
2012,02,DORCHESTER,1211
2012,02,FREDERICK,8160
2012,02,GARRETT,1110
2012,02,HARFORD,8222
2012,02,HOWARD,18884
2012,02,KENT,1075
2012,02,MONTGOMERY,36668
2012,02,PR. GEORGE'S,9934
2012,02,QUEEN ANNE'S,1438
2012,02,ST. MARY'S,5806
2012,02,SOMERSET,771
2012,02,TALBOT,2843
2012,02,WASHINGTON,8642
2012,02,WICOMICO,4528
2012,02,WORCESTER,2391
2009,06,ALLEGANY,3073
2009,06,ANNE ARUNDEL,34471
2009,06,BALTIMORE CITY,20314
2009,06,BALTIMORE CO.,33702
2009,06,CALVERT,5456
2009,06,CAROLINE,1314
2009,06,CARROLL,5685
2009,06,CECIL,5354
2009,06,CHARLES,6919
2009,06,DORCHESTER,1173
2009,06,FREDERICK,13453
2009,06,GARRETT,1483
2009,06,HARFORD,7236
2009,06,HOWARD,19130
2009,06,KENT,780
2009,06,MONTGOMERY,46658
2009,06,PR. GEORGE'S,10394
2009,06,QUEEN ANNE'S,1854
2009,06,ST. MARY'S,3444
2009,06,SOMERSET,863
2009,06,TALBOT,2698
2009,06,WASHINGTON,8957
2009,06,WICOMICO,5285
2009,06,WORCESTER,3607
2007,08,ALLEGANY,2139
2007,08,ANNE ARUNDEL,22983
2007,08,BALTIMORE CITY,18233
2007,08,BALTIMORE CO.,37488
2007,08,CALVERT,4395
2007,08,CAROLINE,1392
2007,08,CARROLL,5313
2007,08,CECIL,3227
2007,08,CHARLES,6700
2007,08,DORCHESTER,801
2007,08,FREDERICK,10717
2007,08,GARRETT,1116
2007,08,HARFORD,10303
2007,08,HOWARD,16610
2007,08,KENT,268
2007,08,MONTGOMERY,52664
2007,08,PR. GEORGE'S,19206
2007,08,QUEEN ANNE'S,1197
2007,08,ST. MARY'S,3970
2007,08,SOMERSET,395
2007,08,TALBOT,1607
2007,08,WASHINGTON,7292
2007,08,WICOMICO,4345
2007,08,WORCESTER,2706
2024,10,ALLEGANY,3755
2024,10,ANNE ARUNDEL,38816
2024,10,BALTIMORE CITY,26720
2024,10,BALTIMORE CO.,34761
2024,10,CALVERT,5978
2024,10,CAROLINE,1580
2024,10,CARROLL,7792
2024,10,CECIL,5462
2024,10,CHARLES,10569
2024,10,DORCHESTER,1084
2024,10,FREDERICK,15804
2024,10,GARRETT,1468
2024,10,HARFORD,14022
2024,10,HOWARD,15422
2024,10,KENT,857
2024,10,MONTGOMERY,72657
2024,10,PR. GEORGE'S,42923
2024,10,QUEEN ANNE'S,1995
2024,10,ST. MARY'S,8349
2024,10,SOMERSET,586
2024,10,TALBOT,2016
2024,10,WASHINGTON,12328
2024,10,WICOMICO,5286
2024,10,WORCESTER,3250
2009,10,ALLEGANY,3047
2009,10,ANNE ARUNDEL,24096
2009,10,"BALTIMORE
 C
ITY",22500
2009,10,"BALTIMORE
 C
O.",25512
2009,10,CALVERT,5447
2009,10,CAROLINE,933
2009,10,CARROLL,6331
2009,10,CECIL,6078
2009,10,CHARLES,7323
2009,10,DORCHESTER,1190
2009,10,FREDERICK,14079
2009,10,GARRETT,1413
2009,10,HARFORD,7361
2009,10,HOWARD,14413
2009,10,KENT,820
2009,10,MONTGOMERY,47097
2009,10,PR. GEORGE'S,10225
2009,10,QUEEN ANNE'S,2331
2009,10,ST. MARY'S,4849
2009,10,SOMERSET,891
2009,10,TALBOT,3396
2009,10,WASHINGTON,6847
2009,10,WICOMICO,4311
2009,10,WORCESTER,2968
2014,09,ALLEGANY,2817
