year,month,county,dem,rep,unaf,other
2006,09,QUEEN ANNE'S,10808,13169,3694,227
2006,09,ST. MARY'S,22248,20787,8109,571
2006,09,SOMERSET,6789,3967,1240,99
2006,09,TALBOT,10102,11338,3526,313
2006,09,WASHINGTON,30361,36387,11308,909
2006,09,WICOMICO,23007,18729,6888,577
2006,09,WORCESTER,15425,13135,4671,437
2012,06,ALLEGANY,15737,19930,5677,652
2012,06,ANNE ARUNDEL,145682,123902,67313,2439
2012,06,BALTIMORE CITY,293995,32444,43115,3582
2012,06,BALTIMORE CO.,287229,129423,70012,8228
2012,06,CALVERT,22554,22738,10425,810
2012,06,CAROLINE,7054,7482,2949,213
2012,06,CARROLL,31957,55203,17785,1449
2012,06,CECIL,23665,23621,11906,1134
2012,06,CHARLES,52563,24669,14660,896
2012,06,DORCHESTER,10025,6938,2268,199
2012,06,FREDERICK,52064,59183,28918,971
2012,06,GARRETT,4724,11424,1969,278
2012,06,HARFORD,61775,65662,24893,1743
2012,06,HOWARD,87255,55900,37089,2952
2012,06,KENT,5941,4516,1624,214
2012,06,MONTGOMERY,328513,122604,130098,4194
2012,06,PR. GEORGE'S,423015,47247,51070,22311
2012,06,QUEEN ANNE'S,11125,14924,4922,366
2012,06,ST. MARY'S,24446,24821,11160,828
2012,06,SOMERSET,6737,4504,1600,161
2012,06,TALBOT,9589,10746,3801,412
2012,06,WASHINGTON,31122,37900,15490,702
2012,06,WICOMICO,24934,20232,8718,940
2012,06,WORCESTER,14869,14087,5713,574
2016,06,ALLEGANY,14596,20927,6776,309
2016,06,ANNE ARUNDEL,157644,135362,78381,649
2016,06,BALTIMORE CITY,304055,31710,43930,1304
2016,06,BALTIMORE CO.,305941,142363,86880,4246
2016,06,CALVERT,23563,25586,12312,391
2016,06,CAROLINE,6822,8602,3579,130
2016,06,CARROLL,32408,62397,22280,746
2016,06,CECIL,22492,26955,13523,564
2016,06,CHARLES,62871,25947,16875,447
2016,06,DORCHESTER,10327,7858,2873,107
2016,06,FREDERICK,60126,65833,35748,253
2016,06,GARRETT,4488,12413,2366,143
2016,06,HARFORD,63684,74679,32045,1028
2016,06,HOWARD,101777,58028,43991,1793
2016,06,KENT,6054,4662,1942,114
2016,06,MONTGOMERY,373167,121640,140888,3715
2016,06,PR. GEORGE'S,445117,43011,61710,12433
2016,06,QUEEN ANNE'S,10764,17127,6153,177
2016,06,ST. MARY'S,25608,28656,13315,408
2016,06,SOMERSET,5973,4975,1667,74
2016,06,TALBOT,9871,11555,4621,193
2016,06,WASHINGTON,32380,41587,18558,358
2016,06,WICOMICO,26058,22175,10277,420
2016,06,WORCESTER,14353,15847,6713,302
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2024,07,nan,0,0,0,0
2011,11,ALLEGANY,15858,19547,5439,418
2011,11,ANNE ARUNDEL,142819,120314,63674,237
2011,11,BALTIMORE CITY,293344,32281,41987,1449
2011,11,BALTIMORE CO.,281220,125896,66125,5382
2011,11,CALVERT,22568,22208,10015,506
2011,11,CAROLINE,7113,7397,2921,118
2011,11,CARROLL,32844,54749,17254,789
2011,11,CECIL,23507,22586,11407,805
2011,11,CHARLES,51497,24364,14025,550
2011,11,DORCHESTER,9951,6878,2183,135
2011,11,FREDERICK,51894,58071,27862,85
2011,11,GARRETT,4803,11325,1877,186
2011,11,HARFORD,61566,63837,23693,775
2011,11,HOWARD,86456,55262,36002,1828
2011,11,KENT,5908,4422,1583,135
2011,11,MONTGOMERY,322204,119922,125166,779
2011,11,PR. GEORGE'S,412750,46716,47592,21605
2011,11,QUEEN ANNE'S,11109,14482,4665,199
2011,11,ST. MARY'S,24124,23711,10552,480
2011,11,SOMERSET,6956,4421,1582,117
